institution_name,fips_state_code,longitude,latitude,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Austin College,Texas,-96.596331,33.646345000000004,1299.0,1295.0,4.0,Private not-for-profit,4-year or above
Austin Community College District,Texas,-97.712505,30.322744,40799.0,8983.0,31816.0,Public,4-year or above
Austin Graduate School of Theology,Texas,-97.711751,30.343842,37.0,7.0,30.0,Private not-for-profit,4-year or above
Austin Peay State University,Tennessee,-87.35408100000002,36.533319,10954.0,7325.0,3629.0,Public,4-year or above
Ave Maria University,Florida,-81.43894499999998,26.335983,1122.0,1110.0,12.0,Private not-for-profit,4-year or above
Averett University,Virginia,-79.413203,36.577287,961.0,930.0,31.0,Private not-for-profit,4-year or above
Averett University-Non-Traditional Programs,Virginia,-79.413203,36.577287,612.0,248.0,364.0,Private not-for-profit,4-year or above
Aviation Institute of Maintenance-Atlanta,Georgia,-84.147864,33.948914,768.0,594.0,174.0,Private for-profit,2-year
Aviator College of Aeronautical Science and Technology,Florida,-80.367303,27.48718,317.0,317.0,0.0,Private for-profit,2-year
Avila University,Missouri,-94.591758,38.91339,1649.0,1341.0,308.0,Private not-for-profit,4-year or above
Azusa Pacific University,California,-117.888375,34.130047,10095.0,7194.0,2901.0,Private not-for-profit,4-year or above
Babson College,Massachusetts,-71.264057,42.297017,3357.0,2905.0,452.0,Private not-for-profit,4-year or above
Bacone College,Oklahoma,-95.334046,35.777082,271.0,243.0,28.0,Private not-for-profit,4-year or above
Bais Binyomin Academy,New York,-74.081172,41.123098,34.0,34.0,0.0,Private not-for-profit,4-year or above
Bais HaMedrash and Mesivta of Baltimore,Maryland,-76.674414,39.379528,80.0,80.0,0.0,Private not-for-profit,4-year or above
Bais Medrash Elyon,New York,-74.06979799999998,41.114079,69.0,69.0,0.0,Private not-for-profit,4-year or above
Bais Medrash Mayan Hatorah,New Jersey,-74.204332,40.107414,69.0,67.0,2.0,Private not-for-profit,4-year or above
Bais Medrash Toras Chesed,New Jersey,-74.21127,40.099704,106.0,103.0,3.0,Private not-for-profit,4-year or above
Baker College,Michigan,-83.69467900000002,42.974764,9332.0,3852.0,5480.0,Private not-for-profit,4-year or above
Baker University,Kansas,-95.188231,38.777278,2769.0,1119.0,1650.0,Private not-for-profit,4-year or above
Bakersfield College,California,-118.973753,35.40911,24589.0,7351.0,17238.0,Public,4-year or above
Baldwin Wallace University,Ohio,-81.85114499999997,41.373017,3709.0,3263.0,446.0,Private not-for-profit,4-year or above
Ball State University,Indiana,-85.40904300000003,40.203431,21884.0,15926.0,5958.0,Public,4-year or above
Baltimore City Community College,Maryland,-76.662878,39.319978000000006,4523.0,1547.0,2976.0,Public,2-year
